Дата	Максимальная температура	Минимальная температура	Средняя температура	Атмосферное давление	Скорость ветра	Осадки	Эффективная температура
01.01.2016	-14.4	-16.9	-15.4	1015.8	3	1	-20.4
02.01.2016	-16.5	-19.2	-17.9	1014.9	2	0	-22.4
03.01.2016	-15.0	-20.3	-16.7	1001.3	2	1	-21.1
04.01.2016	-16.2	-19.8	-18.0	991.0	1	4	-21.8
05.01.2016	-14.4	-19.9	-16.8	996.7	3	1	-21.8
06.01.2016	-10.6	-17.1	-12.3	997.2	1	0	-15.7
07.01.2016	-8.8	-14.8	-10.5	993.0	1	0	-13.8
08.01.2016	-6.0	-9.9	-7.1	989.9	2	2	-10.7
09.01.2016	-6.6	-11.7	-8.3	983.3	3	16	-12.7
10.01.2016	-11.8	-14.9	-13.2	988.2	3	5	-18.0
11.01.2016	-15.4	-22.1	-18.8	998.8	1	1	-22.7
12.01.2016	-3.6	-22.3	-12.1	988.0	3	0	-16.9
13.01.2016	1.9	-8.5	-1.4	974.3	5	9	-6.5
14.01.2016	-1.8	-7.1	-4.2	985.5	3	1	-8.3
15.01.2016	-7.9	-14.0	-10.4	994.9	1	0	-13.7
16.01.2016	-5.7	-15.1	-9.3	999.2	3	0	-13.8
17.01.2016	-1.6	-7.3	-4.8	990.2	3	5	-8.9
18.01.2016	-7.5	-10.0	-8.6	994.6	3	0	-13.0
19.01.2016	-6.2	-8.4	-7.2	984.3	3	18	-11.5
20.01.2016	-8.6	-10.7	-9.2	987.8	3	10	-13.7
21.01.2016	-9.8	-15.5	-12.8	1001.2	2	1	-16.9
22.01.2016	-4.1	-16.2	-8.8	1000.8	3	3	-13.2
23.01.2016	-14.6	-20.6	-18.5	1005.1	1	1	-22.3
24.01.2016	-17.6	-24.2	-21.5	1007.6	1	0	-25.5
25.01.2016	-14.2	-22.8	-17.6	1004.9	3	0	-22.7
26.01.2016	-11.2	-15.2	-13.2	1003.7	2	1	-17.3
27.01.2016	-5.2	-15.3	-7.4	993.0	3	2	-11.7
28.01.2016	0.8	-6.1	-2.4	987.0	3	1	-6.1
29.01.2016	3.7	-1.7	1.8	982.9	4	9	-2.4
30.01.2016	1.9	0.5	1.4	990.6	3	0	-2.0
